event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,10,110.0,120.0,0.8461538461538461,0.1538461538461538,37
5m,BTC,weekend,tf1,10,120.0,130.0,0.8275862068965517,0.1724137931034483,27
5m,BTC,weekend,tf1,10,130.0,140.0,0.9130434782608696,0.0869565217391304,21
5m,BTC,weekend,tf1,10,140.0,150.0,0.9166666666666666,0.0833333333333333,22
5m,BTC,weekend,tf1,11,-160.0,-150.0,0.1034482758620689,0.896551724137931,27
5m,BTC,weekend,tf1,11,-150.0,-140.0,0.125,0.875,22
5m,BTC,weekend,tf1,11,-140.0,-130.0,0.088235294117647,0.9117647058823528,32
5m,BTC,weekend,tf1,11,-130.0,-120.0,0.2058823529411764,0.7941176470588236,32
5m,BTC,weekend,tf1,11,-120.0,-110.0,0.0666666666666666,0.9333333333333332,43
5m,BTC,weekend,tf1,11,-110.0,-100.0,0.125,0.875,54
5m,BTC,weekend,tf1,11,-100.0,-90.0,0.2205882352941176,0.7794117647058824,66
5m,BTC,weekend,tf1,11,-90.0,-80.0,0.18,0.8200000000000001,73
5m,BTC,weekend,tf1,11,-80.0,-70.0,0.2083333333333333,0.7916666666666666,94
5m,BTC,weekend,tf1,11,-70.0,-60.0,0.2935779816513761,0.7064220183486238,107
5m,BTC,weekend,tf1,11,-60.0,-50.0,0.272108843537415,0.727891156462585,145
5m,BTC,weekend,tf1,11,-50.0,-40.0,0.2835820895522388,0.7164179104477613,199
5m,BTC,weekend,tf1,11,-40.0,-30.0,0.3621399176954732,0.6378600823045267,241
5m,BTC,weekend,tf1,11,-30.0,-20.0,0.3034188034188034,0.6965811965811965,349
5m,BTC,weekend,tf1,11,-20.0,-10.0,0.3834134615384615,0.6165865384615384,414
5m,BTC,weekend,tf1,11,-10.0,0.0,0.4026104417670683,0.5973895582329317,496
5m,BTC,weekend,tf1,11,0.0,10.0,0.5797373358348968,0.4202626641651031,531
5m,BTC,weekend,tf1,11,10.0,20.0,0.625,0.375,450
5m,BTC,weekend,tf1,11,20.0,30.0,0.6590296495956873,0.3409703504043126,369
5m,BTC,weekend,tf1,11,30.0,40.0,0.7068965517241379,0.2931034482758621,288
5m,BTC,weekend,tf1,11,40.0,50.0,0.6545454545454545,0.3454545454545454,218
5m,BTC,weekend,tf1,11,50.0,60.0,0.7108433734939759,0.2891566265060241,164
5m,BTC,weekend,tf1,11,60.0,70.0,0.7682926829268293,0.2317073170731707,121
5m,BTC,weekend,tf1,11,70.0,80.0,0.75,0.25,98
5m,BTC,weekend,tf1,11,80.0,90.0,0.8148148148148148,0.1851851851851852,79
5m,BTC,weekend,tf1,11,90.0,100.0,0.8108108108108109,0.1891891891891891,72
