event_type,ticker,day_type,time_frame,slot,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range
5m,BTC,weekend,tf1,12,0.0,10.0,0.5503355704697986,0.4496644295302013,296
5m,BTC,weekend,tf1,12,10.0,20.0,0.6762114537444934,0.3237885462555065,225
5m,BTC,weekend,tf1,12,20.0,30.0,0.7345679012345679,0.265432098765432,160
5m,BTC,weekend,tf1,12,30.0,40.0,0.6377952755905512,0.3622047244094488,125
5m,BTC,weekend,tf1,12,40.0,50.0,0.8061224489795918,0.1938775510204081,96
5m,BTC,weekend,tf1,12,50.0,60.0,0.927536231884058,0.072463768115942,67
5m,BTC,weekend,tf1,12,60.0,70.0,0.7857142857142857,0.2142857142857143,40
5m,BTC,weekend,tf1,12,70.0,80.0,0.9666666666666668,0.0333333333333333,28
5m,BTC,weekend,tf1,12,80.0,90.0,0.9285714285714286,0.0714285714285714,26
5m,BTC,weekend,tf1,13,-90.0,-80.0,0.04,0.96,23
5m,BTC,weekend,tf1,13,-80.0,-70.0,0.1081081081081081,0.8918918918918919,35
5m,BTC,weekend,tf1,13,-70.0,-60.0,0.1111111111111111,0.8888888888888888,43
5m,BTC,weekend,tf1,13,-60.0,-50.0,0.2241379310344827,0.7758620689655172,56
5m,BTC,weekend,tf1,13,-50.0,-40.0,0.189873417721519,0.810126582278481,77
5m,BTC,weekend,tf1,13,-40.0,-30.0,0.2536231884057971,0.7463768115942029,136
5m,BTC,weekend,tf1,13,-30.0,-20.0,0.2484472049689441,0.7515527950310559,159
5m,BTC,weekend,tf1,13,-20.0,-10.0,0.4135021097046413,0.5864978902953586,235
5m,BTC,weekend,tf1,13,-10.0,0.0,0.4696485623003195,0.5303514376996805,311
5m,BTC,weekend,tf1,13,0.0,10.0,0.5567010309278351,0.4432989690721649,289
5m,BTC,weekend,tf1,13,10.0,20.0,0.6321585903083701,0.3678414096916299,225
5m,BTC,weekend,tf1,13,20.0,30.0,0.7345679012345679,0.265432098765432,160
5m,BTC,weekend,tf1,13,30.0,40.0,0.7380952380952381,0.2619047619047618,124
5m,BTC,weekend,tf1,13,40.0,50.0,0.8484848484848485,0.1515151515151515,97
5m,BTC,weekend,tf1,13,50.0,60.0,0.8653846153846154,0.1346153846153845,50
5m,BTC,weekend,tf1,13,60.0,70.0,0.88,0.12,48
5m,BTC,weekend,tf1,13,70.0,80.0,0.875,0.125,38
5m,BTC,weekend,tf1,13,80.0,90.0,0.8846153846153846,0.1153846153846154,24
5m,BTC,weekend,tf1,14,-100.0,-90.0,0.1153846153846153,0.8846153846153846,24
5m,BTC,weekend,tf1,14,-90.0,-80.0,0.0967741935483871,0.9032258064516128,29
5m,BTC,weekend,tf1,14,-80.0,-70.0,0.032258064516129,0.967741935483871,29
5m,BTC,weekend,tf1,14,-70.0,-60.0,0.16,0.84,48
5m,BTC,weekend,tf1,14,-60.0,-50.0,0.2279411764705882,0.7720588235294118,66
5m,BTC,weekend,tf1,14,-50.0,-40.0,0.1477272727272727,0.8522727272727273,86
5m,BTC,weekend,tf1,14,-40.0,-30.0,0.2559999999999999,0.744,123
5m,BTC,weekend,tf1,14,-30.0,-20.0,0.2371794871794871,0.7628205128205128,154
5m,BTC,weekend,tf1,14,-20.0,-10.0,0.4285714285714285,0.5714285714285714,236
