minute,inf_range,sup_range,prob_up,prob_down,count_of_klines_inside_range,ticker
6,-130.0,-120.0,0.2,0.8,113,BTC
6,-120.0,-110.0,0.2158273381294964,0.7841726618705036,137,BTC
6,-110.0,-100.0,0.2230215827338129,0.7769784172661871,137,BTC
6,-100.0,-90.0,0.1927710843373494,0.8072289156626506,164,BTC
6,-90.0,-80.0,0.2741116751269035,0.7258883248730965,195,BTC
6,-80.0,-70.0,0.2466960352422907,0.7533039647577092,225,BTC
6,-70.0,-60.0,0.2746113989637305,0.7253886010362695,191,BTC
6,-60.0,-50.0,0.2607142857142857,0.7392857142857143,278,BTC
6,-50.0,-40.0,0.2777777777777778,0.7222222222222222,268,BTC
6,-40.0,-30.0,0.3452380952380952,0.6547619047619048,334,BTC
6,-30.0,-20.0,0.3424479166666667,0.6575520833333333,382,BTC
6,-20.0,-10.0,0.3677248677248677,0.6322751322751323,376,BTC
6,-10.0,0.0,0.4568965517241379,0.5431034482758621,404,BTC
6,0.0,10.0,0.5365566037735849,0.463443396226415,422,BTC
6,10.0,20.0,0.5857519788918205,0.4142480211081795,377,BTC
6,20.0,30.0,0.6451187335092349,0.3548812664907651,377,BTC
6,30.0,40.0,0.6900584795321637,0.3099415204678363,340,BTC
6,40.0,50.0,0.7006802721088435,0.2993197278911564,292,BTC
6,50.0,60.0,0.7188612099644128,0.2811387900355871,279,BTC
6,60.0,70.0,0.7407407407407407,0.2592592592592593,241,BTC
6,70.0,80.0,0.7142857142857143,0.2857142857142857,201,BTC
6,80.0,90.0,0.7055555555555555,0.2944444444444445,178,BTC
6,90.0,100.0,0.8506493506493507,0.1493506493506493,152,BTC
6,100.0,110.0,0.8068965517241379,0.1931034482758621,143,BTC
6,110.0,120.0,0.7686567164179104,0.2313432835820895,132,BTC
6,120.0,130.0,0.7835820895522388,0.2164179104477611,132,BTC
6,130.0,140.0,0.8932038834951457,0.1067961165048543,101,BTC
6,140.0,150.0,0.8191489361702128,0.1808510638297872,92,BTC
6,150.0,160.0,0.8055555555555556,0.1944444444444444,70,BTC
6,160.0,170.0,0.8735632183908046,0.1264367816091953,85,BTC
6,170.0,180.0,0.8783783783783784,0.1216216216216216,72,BTC
6,180.0,190.0,0.7777777777777778,0.2222222222222222,61,BTC
6,190.0,200.0,0.8444444444444444,0.1555555555555555,43,BTC
6,200.0,210.0,0.8709677419354839,0.1290322580645161,60,BTC
6,210.0,220.0,0.8260869565217391,0.1739130434782608,44,BTC
6,220.0,230.0,0.925,0.0749999999999999,38,BTC
6,230.0,240.0,0.8974358974358975,0.1025641025641025,37,BTC
6,240.0,250.0,0.72,0.28,23,BTC
6,250.0,260.0,0.875,0.125,30,BTC
6,260.0,270.0,0.8846153846153846,0.1153846153846154,24,BTC
6,270.0,280.0,0.8888888888888888,0.1111111111111111,25,BTC
6,310.0,320.0,0.8636363636363636,0.1363636363636363,20,BTC
6,330.0,340.0,0.9090909090909092,0.0909090909090909,20,BTC
7,-320.0,-310.0,0.1153846153846153,0.8846153846153846,24,BTC
7,-310.0,-300.0,0.12,0.88,23,BTC
7,-300.0,-290.0,0.1363636363636363,0.8636363636363636,20,BTC
7,-290.0,-280.0,0.0769230769230769,0.9230769230769232,24,BTC
7,-280.0,-270.0,0.2272727272727272,0.7727272727272727,20,BTC
7,-270.0,-260.0,0.0571428571428571,0.9428571428571428,33,BTC
7,-260.0,-250.0,0.0689655172413793,0.9310344827586208,27,BTC
7,-250.0,-240.0,0.0588235294117647,0.9411764705882352,32,BTC
7,-240.0,-230.0,0.0930232558139534,0.9069767441860466,41,BTC
7,-230.0,-220.0,0.0869565217391304,0.9130434782608696,44,BTC
7,-220.0,-210.0,0.1538461538461538,0.8461538461538461,50,BTC
7,-210.0,-200.0,0.12,0.88,48,BTC
7,-200.0,-190.0,0.1,0.9,58,BTC
7,-190.0,-180.0,0.1126760563380281,0.8873239436619719,69,BTC
7,-180.0,-170.0,0.1184210526315789,0.881578947368421,74,BTC
7,-170.0,-160.0,0.1818181818181818,0.8181818181818181,75,BTC
7,-160.0,-150.0,0.1226415094339622,0.8773584905660378,104,BTC
7,-150.0,-140.0,0.1372549019607843,0.8627450980392157,100,BTC
7,-140.0,-130.0,0.1359223300970873,0.8640776699029127,101,BTC
7,-130.0,-120.0,0.1192660550458715,0.8807339449541285,107,BTC
7,-120.0,-110.0,0.2719298245614035,0.7280701754385965,112,BTC
7,-110.0,-100.0,0.2650602409638554,0.7349397590361446,164,BTC
7,-100.0,-90.0,0.1454545454545454,0.8545454545454545,163,BTC
7,-90.0,-80.0,0.2358490566037736,0.7641509433962264,210,BTC
7,-80.0,-70.0,0.205020920502092,0.7949790794979079,237,BTC
